Ratio_Avg,diff_time,Label
26.67765929746881,4.798928,1
25.770741656681242,2.290067,0
25.884078840574393,0.701365,0
26.967901787525005,2.998571,0
26.900087367314768,27.854328,1
26.348110592329125,14.125591,1
26.648532566672753,2.32316,0
25.498706213705475,1.164846,0
26.11128411299451,1.855621,0
26.417220389454314,3.796819,1
26.58400087832925,1.210907,0
26.20373399740485,21.153354,1
26.721944466638778,4.269782,1
26.423223649414027,3.586411,1
26.837294533498294,4.68644,1
25.55009065269442,20.431653,1
24.447397339322748,20.641613,1
26.552396329300564,3.181793,1
26.240297707966036,11.940917,1
26.674570510335894,19.513489,1
26.9875439468255,8.785386,1
26.3376858492437,0.929424,0
26.44089950294061,1.169168,0
26.243053912016716,6.845731,1
25.92456576344272,2.239701,0
24.715399614528092,1.792698,0
26.84019677433695,1.204989,0
24.52796087426191,1.723131,0
26.463336670081002,1.586166,0
26.487212778866354,1.639686,0
26.322113843326523,2.084991,0
26.758992912160295,2.770968,0
26.183475653108143,2.148176,0
24.78699853114948,1.368073,0
26.973923693271747,1.925281,0
26.484702421659062,1.82476,0
25.503404947491372,3.325205,1
25.555138444210716,0.990212,0
26.205281754918786,9.251436,1
25.527586909736314,2.234902,0
26.986157417304966,4.467277,1
25.51196208665175,4.270053,1
26.433095594810606,2.190775,0
24.791072804741784,10.033038,1
26.64408440456386,1.872547,0
26.97634149168074,1.650224,0
26.714948373237984,7.665105,1
25.793615432229398,1.05505,0
25.878244216695904,7.015176,1
26.657938527902257,2.29266,0
25.563545456791754,1.359877,0
25.60542947603079,4.17665,1
26.126212176531173,1.447562,0
26.126212176531173,1.722944,0
25.854914155249393,1.197672,0
25.461055835059415,1.66557,0
25.891650704513793,3.601617,1
25.591862775321705,1.398681,0
26.630617683168268,3.815331,1
25.747035767776566,4.623665,1
26.736608534060498,1.296764,0
26.066301267156202,1.149945,0
26.124636776667572,1.345515,0
26.47095289552721,4.943103,1
26.280407871788483,1.921693,0
25.939133749894253,1.516849,0
26.08024401978499,4.369462,1
26.262004060054096,7.486419,1
26.7334477744827,5.636442,1
26.50389170584363,3.199192,1
26.998856041686974,7.217414,1
26.234237549450466,1.419276,0
25.97044146296963,2.899188,0
25.936481122418225,2.743104,0
26.451029243073766,1.675957,0
26.199139382795153,8.125671,1
26.25400832719785,2.481182,0
26.95267759054866,6.155422,1
26.938666018227824,5.504164,1
24.977325624482518,2.336541,0
26.67198118948497,3.952643,1
26.162180618156743,1.968721,0
26.339111777071356,3.024606,1
26.515722866427236,1.871825,0
25.974968561507804,4.367025,1
26.302428638439494,3.665361,1
26.458413591572093,3.773373,1
26.40785026408479,2.961008,0
26.950360032264523,6.115598,1
26.022041496431985,2.44225,0
25.62017367747663,1.376649,0
26.671981189484967,3.439681,1
26.500381495934747,0.978392,0
26.70238799360635,1.553727,0
26.648501815439943,1.599551,0
25.810543903813365,1.6177,0
25.853088371627468,9.709459,1
26.773637040007277,3.395636,1
26.7684986321707,6.238762,1
25.98666024422793,2.618143,0
